series,name,freq,block_g,block_s,block_r,block_l,months_lag
vixclsx,VIXCLSX,m,1,0,0,0,0
gdpc1,GDPC1,q,1,0,1,0,2
pcecc96,PCECC96,q,1,0,1,0,2
pcdgx,PCDGX,q,1,0,1,0,2
pcesvx,PCESVX,q,1,0,1,0,2
pcndx,PCNDX,q,1,0,1,0,2
gpdic1,GPDIC1,q,1,0,1,0,2
fpix,FPIX,q,1,0,1,0,2
y033rc1q027sbeax,Y033RC1Q027SBEAX,q,1,0,1,0,2
pnfix,PNFIX,q,1,0,1,0,2
prfix,PRFIX,q,1,0,1,0,2
a014re1q156nbea,A014RE1Q156NBEA,q,1,0,1,0,2
gcec1,GCEC1,q,1,0,1,0,2
a823rl1q225sbea,A823RL1Q225SBEA,q,1,0,1,0,2
fgrecptx,FGRECPTX,q,1,0,1,0,2
slcex,SLCEX,q,1,0,1,0,2
expgsc1,EXPGSC1,q,1,0,1,0,2
impgsc1,IMPGSC1,q,1,0,1,0,2
dpic96,DPIC96,q,1,0,1,0,2
outnfb,OUTNFB,q,1,0,0,1,2
outbs,OUTBS,q,1,0,0,1,2
outms,OUTMS,q,1,0,0,1,2
ipb51110sq,IPB51110SQ,q,1,0,1,0,2
ipb51220sq,IPB51220SQ,q,1,0,1,0,2
uspriv,USPRIV,q,1,0,0,1,0
usehs,USEHS,q,1,0,0,1,0
usinfo,USINFO,q,1,0,0,1,0
uspbs,USPBS,q,1,0,0,1,0
uslah,USLAH,q,1,0,0,1,0
usserv,USSERV,q,1,0,0,1,0
usmine,USMINE,q,1,0,0,1,0
ces9091000001,CES9091000001,q,1,0,0,1,0
ces9092000001,CES9092000001,q,1,0,0,1,0
ces9093000001,CES9093000001,q,1,0,0,1,0
civpart,CIVPART,q,1,0,0,1,0
unratestx,UNRATESTX,q,1,0,0,1,0
unrateltx,UNRATELTX,q,1,0,0,1,0
lns14000012,LNS14000012,q,1,0,0,1,0
lns14000025,LNS14000025,q,1,0,0,1,0
lns14000026,LNS14000026,q,1,0,0,1,0
lns13023621,LNS13023621,q,1,0,0,1,0
lns13023557,LNS13023557,q,1,0,0,1,0
lns13023705,LNS13023705,q,1,0,0,1,0
lns13023569,LNS13023569,q,1,0,0,1,0
lns12032194,LNS12032194,q,1,0,0,1,0
hoabs,HOABS,q,1,0,0,1,2
hoams,HOAMS,q,1,0,0,1,2
hoanbs,HOANBS,q,1,0,0,1,2
awhnonag,AWHNONAG,q,1,0,0,1,0
hwix,HWIX,q,1,1,0,1,0
houst5f,HOUST5F,q,1,0,1,0,2
