Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1969-02-01,0.05051579013690244,,,,0,0,0
1969-02-08,-0.03000225030379866,,,,0,0,0
1969-02-15,-0.02570835671020788,,,,0,0,0
1969-02-22,0.0,,,,0,0,0
1969-03-01,0.04580953603129423,,,,0,0,0
1969-03-08,-0.05103148001244584,,,,0,0,0
1969-03-15,-0.01052641298698731,,,,0,0,0
1969-03-22,-0.04324998379381739,,,,0,0,0
1969-03-29,0.010989121575596172,,,,0,0,0
1969-04-05,-0.005479465764626212,,,,0,0,0
1969-04-12,0.043017385083691906,,,,0,0,0
1969-04-19,-0.01591545530589933,,,,0,0,0
1969-04-26,-0.054958884280758014,,,,0,0,0
1969-05-03,0.0,,,,0,0,0
1969-05-10,0.03333642026759165,,,,0,0,0
1969-05-17,-0.02210034700066643,,,,0,0,0
1969-05-24,0.005571045049455492,,,,0,0,0
1969-05-31,0.038151765964377304,,,,0,0,0
1969-06-07,0.026386755173193777,,,,0,0,0
1969-06-14,-0.053488684950986354,,,,0,0,0
1969-06-21,0.04826674096983474,,,,0,0,0
1969-06-28,0.06093255099515815,,,,0,0,0
1969-07-05,0.111744038439614,,,,0,0,0
1969-07-12,-0.07784248676393268,,,,0,0,0
1969-07-19,-0.019231361927888102,,,,0,0,0
1969-07-26,-0.07038079676179976,,,,0,0,0
1969-08-02,0.020619287202736203,,,,0,0,0
1969-08-09,0.03509131981127034,,,,0,0,0
1969-08-16,-0.019901154317295777,,,,0,0,0
1969-08-23,0.0,,,,0,0,0
1969-08-30,-0.02030526616074546,,,,0,0,0
1969-09-06,-0.06899287148695166,,,,0,0,0
1969-09-13,0.13832756488801579,,,,0,0,0
1969-09-20,-0.06933469340106413,,,,0,0,0
1969-09-27,-0.0103093696588612,,,,0,0,0
1969-10-04,0.0,,,,0,0,0
1969-10-11,0.0356271776431516,,,,0,0,0
1969-10-18,-0.005012541823544936,,,,0,0,0
1969-10-25,0.02970515441391619,,,,0,0,0
1969-11-01,-0.03474294844387238,,,,0,0,0
1969-11-08,0.06359110278153146,,,,0,0,0
1969-11-15,-0.06865440473807816,,,,0,0,0
1969-11-22,0.09669362480247123,,,,0,0,0
1969-11-29,-0.07162965613925643,,,,0,0,0
1969-12-06,0.0,,,,0,0,0
1969-12-13,0.094409684471076,,,,0,0,0
1969-12-20,0.044059989794030585,,,,0,0,0
1969-12-27,-0.03956560020619193,,,,0,0,0
1970-01-03,0.030907537463077617,,,,0,0,0
1970-01-10,0.05085841723349027,,,,0,0,0
1970-01-17,0.10204925435417067,,,,0,0,0
1970-01-24,-0.04580953603129423,,,,0,0,0
1970-01-31,-0.06871389254805216,,,,0,0,0
1970-02-07,0.06871389254805216,,,,0,0,0
1970-02-14,0.03455238150665885,,,,0,0,0
1970-02-21,0.02238899489347901,,,,0,0,0
1970-02-28,-0.1131810947230143,,,,0,0,0
1970-03-07,0.07940677760440984,,,,0,0,0
