notebook,status,start,end,exit_code
model_arma.ipynb,ok,2026-05-13T22:46:13.1862498+03:00,2026-05-13T22:48:02.9007810+03:00,0
model_ols.ipynb,ok,2026-05-13T22:48:02.9107767+03:00,2026-05-13T22:48:34.6748382+03:00,0
model_var.ipynb,ok,2026-05-13T22:48:34.6798394+03:00,2026-05-13T22:50:17.8451285+03:00,0
model_lasso.ipynb,ok,2026-05-13T22:50:17.8501316+03:00,2026-05-13T22:51:17.4112919+03:00,0
model_ridge.ipynb,ok,2026-05-13T22:51:17.4252911+03:00,2026-05-13T22:51:57.4391158+03:00,0
model_elasticnet.ipynb,ok,2026-05-13T22:51:57.4431146+03:00,2026-05-13T22:52:58.8013404+03:00,0
